bvid,title,series,number,plays,likes,date,url
BV1wLN267EiQ,关于大模型的碎碎念，模型架构、预训练、后训练、推理,未分类 / 其他,,21222,0,2026-07-13,https://www.bilibili.com/video/BV1wLN267EiQ
BV1idjc6rEyM,MiniMax-M3全面测评，接上Claude Code实现编程自由,未分类 / 其他,,8170,0,2026-06-18,https://www.bilibili.com/video/BV1idjc6rEyM
BV1zxL561EcM,用文件存储记忆，统一多模态记忆框架memU【代码解读】,代码解读,,8144,0,2026-05-16,https://www.bilibili.com/video/BV1zxL561EcM
BV1BQSoBmE24,从零实现Clude Code（最终章）——Claude Code,未分类 / 其他,,7380,0,2026-04-18,https://www.bilibili.com/video/BV1BQSoBmE24
