bvid,title,series,number,plays,likes,date,url
BV1bZTA61Eip,AI 生图原理与里程碑论文解读｜从 VAE、GAN 到 Diffusion、自回归,未分类 / 其他,,31594,0,2026-06-27,https://www.bilibili.com/video/BV1bZTA61Eip
BV1oKdxBzEVz,Hermes Agent 详细讲解 & 本地部署和基于 OpenClaw 迁出的全流程,未分类 / 其他,,49003,0,2026-04-18,https://www.bilibili.com/video/BV1oKdxBzEVz
BV1zSDMBUE5o,近年AI应用技术串讲与优质文档分享｜Agent、Skill、OpenClaw、Harness……,未分类 / 其他,,216881,0,2026-04-04,https://www.bilibili.com/video/BV1zSDMBUE5o
BV1qTYizcEN3,什么是Function Calling与MCP协议？它们为何要这样设计？,未分类 / 其他,,101085,0,2025-08-16,https://www.bilibili.com/video/BV1qTYizcEN3
BV1xoJwzDESD,《Attention is all you need》论文解读及Transformer架构详细介绍,未分类 / 其他,,545376,0,2025-05-17,https://www.bilibili.com/video/BV1xoJwzDESD
BV1R6P7eVEtd,LoRA 算法论文解读 & 开发人员如何微调大模型并暴露可调用接口,未分类 / 其他,,279166,0,2025-02-26,https://www.bilibili.com/video/BV1R6P7eVEtd
BV1WiP2ezE5a,【知识科普】【纯本地化搭建】【不本地也行】DeepSeek+RAGFlow构建个人知识库,不本地也行,,855269,0,2025-02-05,https://www.bilibili.com/video/BV1WiP2ezE5a
